PeakID (cmd=annotatePeaks.pl ../output/bam_coverage_my_aln_sorted.filtered.bam.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
89	chr5	166402543	166402576	+	0	NA	Intergenic	Intergenic	-49184	NR_108020	102557615		NR_108020	ENSG00000254130	LINC01947	CTB-7E3.1	long intergenic non-protein coding RNA 1947	ncRNA
141	chr8	22492563	22492639	+	0	NA	intron (NM_001363046, intron 3 of 7)	L2a|LINE|L2	7121	NR_027715	80094		NM_025026		BIN3-IT1	-	BIN3 intronic transcript 1	ncRNA
33	chr1	207201019	207201231	+	0	NA	intron (NM_023938, intron 1 of 3)	intron (NM_023938, intron 1 of 3)	4976	NM_023938	79098		NM_023938	ENSG00000182795	C1orf116	SARG	chromosome 1 open reading frame 116	protein-coding
17	chr1	45015824	45015978	+	0	NA	intron (NM_001319957, intron 1 of 13)	intron (NM_001319957, intron 1 of 13)	4736	NR_049849	100847089		NR_049849	ENSG00000263381	MIR5584	-	microRNA 5584	ncRNA
257	chr18	42129870	42129889	+	0	NA	intron (NR_131768, intron 3 of 4)	intron (NR_131768, intron 3 of 4)	18135	NR_131768	105667213		NR_131768		LINC01601	-	long intergenic non-protein coding RNA 1601	ncRNA
244	chr16	83426462	83426564	+	0	NA	intron (NM_001220488, intron 7 of 14)	intron (NM_001220488, intron 7 of 14)	-115438	NR_036147	100422853		NR_036147	ENSG00000263785	MIR3182	mir-3182	microRNA 3182	ncRNA
202	chr11	76375293	76375434	+	0	NA	intron (NM_001370190, intron 1 of 1)	intron (NM_001370190, intron 1 of 1)	5619	NM_001370189	2615		NM_005512	ENSG00000137507	LRRC32	CPPRDD|D11S833E|GARP	leucine rich repeat containing 32	protein-coding
64	chr3	180148417	180148436	+	0	NA	Intergenic	Intergenic	16465	NR_132416	100505609		NR_132416	ENSG00000241696	LINC02053	-	long intergenic non-protein coding RNA 2053	ncRNA
174	chr10	64225159	64225303	+	0	NA	intron (NM_199450, intron 4 of 4)	MER52A|LTR|ERV1	-90345	NR_104162	283045		NR_104162	ENSG00000288011	LOC283045	-	uncharacterized LOC283045	ncRNA
0	chr1	5475739	5475815	+	0	NA	Intergenic	Intergenic	447024	NR_039838	100616421		NR_039838	ENSG00000264101	MIR4689	mir-4689	microRNA 4689	ncRNA
24	chr1	94119822	94119868	+	0	NA	intron (NM_001261408, intron 4 of 13)	MLT1E3|LTR|ERVL-MaLR	27081	NM_001261409	8412		NM_003567	ENSG00000137936	BCAR3	AND-34|MIG7|NSP2|SH2D3B	BCAR3 adaptor protein, NSP family member	protein-coding
271	chr19	9000206	9000247	+	0	NA	intron (NM_024690, intron 54 of 83)	intron (NM_024690, intron 54 of 83)	46957	NM_145208	85509		NM_145208	ENSG00000170948	MBD3L1	MBD3L	methyl-CpG binding domain protein 3 like 1	protein-coding
38	chr2	29275349	29275586	+	0	NA	TTS (NM_001321539)	TTS (NM_001321539)	21922	NM_001029883	388939		NM_001029883	ENSG00000179270	PCARE	C2orf71|RP54	photoreceptor cilium actin regulator	protein-coding
190	chr11	3398955	3399159	+	0	NA	non-coding (NR_040083, exon 2 of 6)	non-coding (NR_040083, exon 2 of 6)	1319	NM_001242842	7748		NM_007152	ENSG00000005801	ZNF195	HRF1|ZNFP104	zinc finger protein 195	protein-coding
54	chr2	238378517	238378706	+	0	NA	Intergenic	Intergenic	-16442	NM_001281474	79083		NM_024101	ENSG00000115648	MLPH	SLAC2-A	melanophilin	protein-coding
143	chr8	68226133	68226195	+	0	NA	intron (NM_006421, intron 1 of 38)	L1PBa1|LINE|L1	29852	NM_006421	10565		NM_006421	ENSG00000066777	ARFGEF1	ARFGEP1|BIG1|DEDISB|P200	ADP ribosylation factor guanine nucleotide exchange factor 1	protein-coding
146	chr8	135402006	135402243	+	0	NA	Intergenic	L1M2c|LINE|L1	-208190	NR_002438	594840		NR_002438	ENSG00000248492	ZFAT-AS1	NCRNA00070|SAS-ZFAT|ZFAT-AS|ZFATAS	ZFAT antisense RNA 1	ncRNA
230	chr15	64471251	64471270	+	0	NA	intron (NM_022048, intron 11 of 11)	intron (NM_022048, intron 11 of 11)	-16039	NM_000942	5479		NM_000942	ENSG00000166794	PPIB	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	peptidylprolyl isomerase B	protein-coding
105	chr6	150268211	150268478	+	0	NA	intron (NM_025217, intron 3 of 4)	intron (NM_025217, intron 3 of 4)	5194	NM_025217	80328		NM_025217	ENSG00000131015	ULBP2	ALCAN-alpha|N2DL2|NKG2DL2|RAET1H|RAET1L	UL16 binding protein 2	protein-coding
276	chr19	48662846	48662918	+	0	NA	intron (NR_135497, intron 4 of 27)	MLT1D|LTR|ERVL-MaLR	10719	NM_001289063	3978		NM_000234	ENSG00000105486	LIG1	IMD96|LIGI|hLig1	DNA ligase 1	protein-coding
273	chr19	19378607	19378754	+	0	NA	intron (NM_001001524, intron 7 of 9)	intron (NM_001001524, intron 7 of 9)	-5067	NM_023002	404037		NM_023002	ENSG00000187664	HAPLN4	BRAL2	hyaluronan and proteoglycan link protein 4	protein-coding
175	chr10	70986671	70986690	+	0	NA	intron (NR_120648, intron 1 of 4)	intron (NR_120648, intron 1 of 4)	5566	NR_120648	101928994		NR_120648	ENSG00000229261	LOC101928994	-	uncharacterized LOC101928994	ncRNA
127	chrX	2990032	2990053	+	0	NA	intron (NM_001201538, intron 2 of 10)	intron (NM_001201538, intron 2 of 10)	5202	NM_004042	416		NM_004042	ENSG00000062096	ARSF	ASF	arylsulfatase F	protein-coding
203	chr11	76375472	76375614	+	0	NA	intron (NM_001370190, intron 1 of 1)	intron (NM_001370190, intron 1 of 1)	5439	NM_001370189	2615		NM_005512	ENSG00000137507	LRRC32	CPPRDD|D11S833E|GARP	leucine rich repeat containing 32	protein-coding
245	chr16	84108987	84109007	+	0	NA	intron (NM_003791, intron 11 of 22)	intron (NM_003791, intron 11 of 22)	-32597	NM_001080442	146167		NM_001080442	ENSG00000166558	SLC38A8	FHASD|FVH2|SNAT8	solute carrier family 38 member 8	protein-coding
206	chr11	121917231	121917251	+	0	NA	intron (NR_137178, intron 3 of 4)	L2c|LINE|L2	53311	NR_029671	406911		NR_029671	ENSG00000207971	MIR125B1	MIRN125B1|mir-125b-1	microRNA 125b-1	ncRNA
7	chr1	17586995	17587234	+	0	NA	intron (NM_016233, intron 2 of 15)	MIRb|SINE|MIR	11521	NM_016233	51702		NM_016233	ENSG00000142619	PADI3	PAD3|PDI3|UHS1	peptidyl arginine deiminase 3	protein-coding
290	chr22	49145499	49145544	+	0	NA	intron (NM_015381, intron 3 of 3)	intron (NM_015381, intron 3 of 3)	-30586	NR_039761	100616415		NR_039761	ENSG00000266887	MIR4535	-	microRNA 4535	ncRNA
9	chr1	19209503	19209725	+	0	NA	TTS (NR_039844)	TTS (NR_039844)	155	NR_039844	100616120		NR_039844	ENSG00000265606	MIR4695	-	microRNA 4695	ncRNA
227	chr14	101970589	101970660	+	0	NA	Intergenic	L2|LINE|L2	56135	NR_152593	64150		NM_022345	ENSG00000258498	DIO3OS	C14orf134|DIO3-AS1|DIO3-OS|NCRNA00041	DIO3 opposite strand upstream RNA	ncRNA
300	chr19_kb021647_fix	636635	636781	+	0	NA	NA	MLT1D|LTR|ERVL-MaLR	NA	NA								
275	chr19	39664826	39665083	+	0	NA	intron (NM_001014835, intron 4 of 8)	intron (NM_001014835, intron 4 of 8)	-22650	NM_001001414	342897		NM_001001414	ENSG00000188505	NCCRP1	FBXO50|NCCRP-1	NCCRP1, F-box associated domain containing	protein-coding
106	chr6	159993539	159993764	+	0	NA	Intergenic	Intergenic	120622	NM_000636	6648		NM_000636	ENSG00000291237	SOD2	GC1|GClnc1|IPO-B|IPOB|MNSOD|MVCD6|Mn-SOD	superoxide dismutase 2	protein-coding
145	chr8	99796345	99796368	+	0	NA	intron (NM_001256312, intron 3 of 12)	L1PA15-16|LINE|L1	41543	NM_001256313	6788		NM_006281	ENSG00000104375	STK3	KRS1|MST2	serine/threonine kinase 3	protein-coding
103	chr6	125610706	125610848	+	0	NA	intron (NM_016063, intron 4 of 5)	intron (NM_016063, intron 4 of 5)	12336	NM_016063	51020		NM_016063	ENSG00000111906	HDDC2	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	HD domain containing 2	protein-coding
50	chr2	196549495	196549515	+	0	NA	intron (NM_020342, intron 3 of 9)	L2|LINE|L2	27555	NM_020342	57181		NM_020342	ENSG00000196950	SLC39A10	LZT-Hs2|ZIP10	solute carrier family 39 member 10	protein-coding
205	chr11	110966633	110966789	+	0	NA	intron (NR_149131, intron 1 of 1)	intron (NR_149131, intron 1 of 1)	1331	NR_149131	105369490		NR_149131	ENSG00000271584	LINC02550	-	long intergenic non-protein coding RNA 2550	ncRNA
246	chr16	86369695	86369837	+	0	NA	intron (NR_024406, intron 4 of 6)	intron (NR_024406, intron 4 of 6)	9519	NR_024406	732275		NR_024406	ENSG00000168367	LINC00917	-	long intergenic non-protein coding RNA 917	ncRNA
130	chrX	11103672	11103681	+	0	NA	Intergenic	Intergenic	-25776	NM_001122608	3052		NM_005333	ENSG00000004961	HCCS	CCHL|LSDMCA1|MCOPS7|MLS	holocytochrome c synthase	protein-coding
243	chr16	64379166	64379279	+	0	NA	Intergenic	MER52A|LTR|ERV1	776744	NM_001308392	1009		NM_001797	ENSG00000140937	CDH11	CAD11|CDHOB|ESWS|OB|OSF-4|TBHS2	cadherin 11	protein-coding
88	chr5	159152920	159153028	+	0	NA	Intergenic	L2b|LINE|L2	145417	NR_109891	101927766		NR_109891	ENSG00000253311	LINC01847	-	long intergenic non-protein coding RNA 1847	ncRNA
57	chr3	48610199	48610251	+	0	NA	intron (NM_000094, intron 87 of 118)	intron (NM_000094, intron 87 of 118)	6185	NR_031756	100313843		NR_031756	ENSG00000284251	MIR711	hsa-mir-711	microRNA 711	ncRNA
173	chr10	64225006	64225148	+	0	NA	intron (NM_199450, intron 4 of 4)	MER52A|LTR|ERV1	-90191	NR_104162	283045		NR_104162	ENSG00000288011	LOC283045	-	uncharacterized LOC283045	ncRNA
176	chr10	86905796	86905889	+	0	NA	Intergenic	L2c|LINE|L2	52819	NR_120668	101929624		NR_120667	ENSG00000237267	LINC01519	-	long intergenic non-protein coding RNA 1519	ncRNA
217	chr12	65298591	65298734	+	0	NA	intron (NR_033988, intron 2 of 2)	MIR|SINE|MIR	21108	NR_033988	400046		NR_033988	ENSG00000255693	LINC02389	-	long intergenic non-protein coding RNA 2389	ncRNA
83	chr5	76882249	76882293	+	0	NA	Intergenic	AluJb|SINE|Alu	52267	NM_032109	23440		NM_032109	ENSG00000171540	OTP	-	orthopedia homeobox	protein-coding
267	chr19	1009996	1010134	+	0	NA	TTS (NM_138690)	TTS (NM_138690)	9647	NM_138690	116444		NM_138690	ENSG00000116032	GRIN3B	GluN3B|NR3B	glutamate ionotropic receptor NMDA type subunit 3B	protein-coding
180	chr10	111729956	111730174	+	0	NA	intron (NR_038943, intron 2 of 4)	intron (NR_038943, intron 2 of 4)	-26066	NM_001320591	120		NM_001121	ENSG00000148700	ADD3	ADDL|CPSQ3	adducin 3	protein-coding
40	chr2	69181884	69181985	+	0	NA	Intergenic	Intergenic	-1909	NM_182536	200504		NM_182536	ENSG00000183607	GKN2	BRICD1B|GDDR|PRO813|TFIZ1|VLTI465	gastrokine 2	protein-coding
47	chr2	145640888	145641032	+	0	NA	intron (NR_033870, intron 2 of 4)	intron (NR_033870, intron 2 of 4)	215426	NR_033870	401014		NR_033870	ENSG00000226674	TEX41	DKFZp686O1327|LINC00953	testis expressed 41	ncRNA
39	chr2	60008242	60008264	+	0	NA	Intergenic	Intergenic	563410	NR_110219	101927285		NR_110219	ENSG00000222030	LINC01793	-	long intergenic non-protein coding RNA 1793	ncRNA
144	chr8	96223877	96223896	+	0	NA	intron (NR_046232, intron 1 of 2)	intron (NR_046232, intron 1 of 2)	4716	NR_046232	619344		NR_046232	ENSG00000253351	LINC01298	C8orf69	long intergenic non-protein coding RNA 1298	ncRNA
102	chr6	125610696	125610705	+	0	NA	intron (NM_016063, intron 4 of 5)	intron (NM_016063, intron 4 of 5)	12413	NM_016063	51020		NM_016063	ENSG00000111906	HDDC2	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	HD domain containing 2	protein-coding
27	chr1	153417463	153417604	+	0	NA	Intergenic	Intergenic	15594	NM_002963	6278		NM_002963	ENSG00000143556	S100A7	PSOR1|S100A7c	S100 calcium binding protein A7	protein-coding
157	chr9	73477841	73477945	+	0	NA	exon (NM_001366151, exon 3 of 26)	exon (NM_001366151, exon 3 of 26)	6075	NM_001007470	80036		NM_020952	ENSG00000083067	TRPM3	CTRCT50|GON-2|LTRPC3|MLSN2|NEDFSS	transient receptor potential cation channel subfamily M member 3	protein-coding
241	chr16	56616646	56616669	+	0	NA	Intergenic	Intergenic	-6783	NM_005954	4504		NM_005954	ENSG00000087250	MT3	GIF|GIFB|GRIF|ZnMT3	metallothionein 3	protein-coding
171	chr10	50838326	50838345	+	0	NA	intron (NM_020984, intron 7 of 14)	L2|LINE|L2	16252	NM_001142934	1103		NM_020549	ENSG00000070748	CHAT	CHOACTASE|CMS1A|CMS1A2|CMS6	choline O-acetyltransferase	protein-coding
14	chr1	31276762	31276828	+	0	NA	Intergenic	Intergenic	-20704	NR_146732	105378622		NR_146732	ENSG00000223382	LINC01778	-	long intergenic non-protein coding RNA 1778	ncRNA
67	chr4	7396788	7396808	+	0	NA	intron (NM_020777, intron 1 of 26)	intron (NM_020777, intron 1 of 26)	39859	NM_001085382	768239		NM_001085382	ENSG00000178597	PSAPL1	-	prosaposin like 1	protein-coding
274	chr19	29550745	29550784	+	0	NA	Intergenic	Intergenic	57302	NR_040036	100505835		NR_040036		LINC01532	-	long intergenic non-protein coding RNA 1532	ncRNA
20	chr1	57888465	57888516	+	0	NA	intron (NM_001353980, intron 4 of 5)	CpG	294	NM_001365793	1600		NM_021080	ENSG00000173406	DAB1	SCA37	DAB adaptor protein 1	protein-coding
172	chr10	57797169	57797221	+	0	NA	Intergenic	MER4B|LTR|ERV1	323825	NM_007057	11130		NM_007057	ENSG00000122952	ZWINT	HZwint-1|KNTC2AP|SIP30|ZWINT1	ZW10 interacting kinetochore protein	protein-coding
60	chr3	59145634	59145654	+	0	NA	Intergenic	Intergenic	-109886	NR_147235	200844		NM_198463	ENSG00000163689	CFAP20DC	C3orf67	CFAP20 domain containing	protein-coding
242	chr16	56641442	56641641	+	0	NA	promoter-TSS (NM_005953)	promoter-TSS (NM_005953)	-955	NM_005953	4502		NM_005953	ENSG00000125148	MT2A	MT-2|MT-II|MT2	metallothionein 2A	protein-coding
204	chr11	86350460	86350479	+	0	NA	intron (NM_006680, intron 2 of 14)	intron (NM_006680, intron 2 of 14)	32771	NR_147831	10873		NM_006680	ENSG00000151376	ME3	NADP-ME	malic enzyme 3	protein-coding
101	chr6	63086122	63086141	+	0	NA	Intergenic	LTR78|LTR|ERV1	-89999	NR_146870	202559		NM_152688	ENSG00000112232	KHDRBS2	KHDRBS2-OT|KHDRBS2-OT1|SLM-1|SLM1	KH RNA binding domain containing, signal transduction associated 2	protein-coding
